,trial_id,start_time,end_time,trial_type,trial_version,maze_id,success,target_on_time,go_cue_time,move_onset_time,rt,delay,num_targets,target_pos,num_barriers,barrier_pos,active_target,split
0,0,0 days 00:00:00,0 days 00:00:03.421000,11,1,76,True,0 days 00:00:00.848000,0 days 00:00:01.413000,0 days 00:00:02.171000,758,565,1,[[-118  -83]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,val
1,1,0 days 00:00:03.500000,0 days 00:00:05.631000,12,0,77,True,0 days 00:00:04.176000,0 days 00:00:04.324000,0 days 00:00:04.580000,256,148,1,[[-77  82]],0,[],0,train
2,2,0 days 00:00:05.700000,0 days 00:00:08.536000,4,1,4,True,0 days 00:00:06.359000,0 days 00:00:06.540000,0 days 00:00:06.910000,370,181,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train
3,3,0 days 00:00:08.600000,0 days 00:00:11.746000,8,2,10,True,0 days 00:00:09.361000,0 days 00:00:10.259000,0 days 00:00:10.607000,348,898,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",1,val
4,4,0 days 00:00:11.800000,0 days 00:00:14.706000,7,2,8,True,0 days 00:00:12.593000,0 days 00:00:13.225000,0 days 00:00:13.550000,325,632,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
5,5,0 days 00:00:14.800000,0 days 00:00:17.551000,4,1,4,True,0 days 00:00:15.480000,0 days 00:00:16.011000,0 days 00:00:16.334000,323,531,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,val
6,6,0 days 00:00:17.600000,0 days 00:00:20.626000,8,2,10,True,0 days 00:00:18.420000,0 days 00:00:19.085000,0 days 00:00:19.431000,346,665,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",1,train
7,7,0 days 00:00:20.700000,0 days 00:00:23.651000,7,0,8,True,0 days 00:00:21.399000,0 days 00:00:22.263000,0 days 00:00:22.559000,296,864,1,[[-92  81]],0,[],0,train
8,8,0 days 00:00:23.700000,0 days 00:00:26.971000,6,1,7,True,0 days 00:00:24.621000,0 days 00:00:25.536000,0 days 00:00:25.821000,285,915,1,[[117  15]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",0,val
9,9,0 days 00:00:27,0 days 00:00:29.641000,3,1,3,True,0 days 00:00:27.731000,0 days 00:00:28.195000,0 days 00:00:28.512000,317,464,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
10,10,0 days 00:00:29.700000,0 days 00:00:33.036000,10,2,75,True,0 days 00:00:30.633000,0 days 00:00:31.547000,0 days 00:00:31.910000,363,914,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train
11,11,0 days 00:00:33.100000,0 days 00:00:36.226000,8,0,10,True,0 days 00:00:33.908000,0 days 00:00:34.873000,0 days 00:00:35.181000,308,965,1,[[-91 -70]],0,[],0,train
12,12,0 days 00:00:36.300000,0 days 00:00:39.276000,7,0,8,True,0 days 00:00:37.062000,0 days 00:00:37.910000,0 days 00:00:38.240000,330,848,1,[[-92  81]],0,[],0,val
13,13,0 days 00:00:39.300000,0 days 00:00:41.656000,3,1,3,True,0 days 00:00:40.106000,0 days 00:00:40.138000,0 days 00:00:40.489000,351,32,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
14,14,0 days 00:00:41.700000,0 days 00:00:44.661000,2,0,2,True,0 days 00:00:42.508000,0 days 00:00:43.340000,0 days 00:00:43.630000,290,832,1,[[104  80]],0,[],0,train
15,15,0 days 00:00:44.700000,0 days 00:00:47.691000,10,2,75,True,0 days 00:00:45.419000,0 days 00:00:46.184000,0 days 00:00:46.526000,342,765,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train
